year	component	emission	sector	region	value	unit
2012	domestic	GHG	Mining & quarrying	Advanced	0.0	Mt
2012	domestic	GHG	Mining & quarrying	Developing	0.0	Mt
2012	domestic	GHG	Mining & quarrying	Norway	0.0108679020983108	Mt
2012	domestic	GHG	Other manufacturing & recycl.	Europe	0.0	Mt
2012	domestic	GHG	Other manufacturing & recycl.	Advanced	0.0	Mt
2012	domestic	GHG	Other manufacturing & recycl.	Developing	0.0	Mt
2012	domestic	GHG	Other manufacturing & recycl.	Norway	0.0250340544108298	Mt
2012	domestic	GHG	Petroleum, chem & non-met	Europe	0.0	Mt
2012	domestic	GHG	Petroleum, chem & non-met	Advanced	0.0	Mt
2012	domestic	GHG	Petroleum, chem & non-met	Developing	0.0	Mt
2012	domestic	GHG	Petroleum, chem & non-met	Norway	0.6088544833654987	Mt
2012	domestic	GHG	Public services	Europe	0.0	Mt
2012	domestic	GHG	Public services	Advanced	0.0	Mt
2012	domestic	GHG	Public services	Developing	0.0	Mt
2012	domestic	GHG	Public services	Norway	0.1616794794246366	Mt
2012	domestic	GHG	Recreation; other services	Europe	0.0	Mt
2012	domestic	GHG	Recreation; other services	Advanced	0.0	Mt
2012	domestic	GHG	Recreation; other services	Developing	0.0	Mt
2012	domestic	GHG	Recreation; other services	Norway	0.1596786482672237	Mt
2012	domestic	GHG	Textiles & wearing apparel	Europe	0.0	Mt
2012	domestic	GHG	Textiles & wearing apparel	Advanced	0.0	Mt
2012	domestic	GHG	Textiles & wearing apparel	Developing	0.0	Mt
2012	domestic	GHG	Textiles & wearing apparel	Norway	0.0230682908511921	Mt
2012	domestic	GHG	Transport	Europe	0.0	Mt
2012	domestic	GHG	Transport	Advanced	0.0	Mt
2012	domestic	GHG	Transport	Developing	0.0	Mt
2012	domestic	GHG	Transport	Norway	2.505113014673709	Mt
2012	domestic	GHG	Transport equipment	Europe	0.0	Mt
2012	domestic	GHG	Transport equipment	Advanced	0.0	Mt
2012	domestic	GHG	Transport equipment	Developing	0.0	Mt
2012	domestic	GHG	Transport equipment	Norway	0.0399579665798849	Mt
2012	domestic	GHG	Wholesale, retail & hospitality	Europe	0.0	Mt
2012	domestic	GHG	Wholesale, retail & hospitality	Advanced	0.0	Mt
2012	domestic	GHG	Wholesale, retail & hospitality	Developing	0.0	Mt
2012	domestic	GHG	Wholesale, retail & hospitality	Norway	1.2086514717058239	Mt
2012	domestic	GHG	Wood, paper & publishing	Europe	0.0	Mt
2012	domestic	GHG	Wood, paper & publishing	Advanced	0.0	Mt
