year	emission	sector	region	value	unit
2012	HFC	Food, beverages & tobacco	Advanced	5369.163298463226	t CO2-eq
2012	HFC	Food, beverages & tobacco	Developing	40616.486134688974	t CO2-eq
2012	HFC	Food, beverages & tobacco	Norway	61561.62868472672	t CO2-eq
2012	HFC	Metal & metal products	Europe	5410.371213917015	t CO2-eq
2012	HFC	Metal & metal products	Advanced	2944.3985859871054	t CO2-eq
2012	HFC	Metal & metal products	Developing	9125.638842993603	t CO2-eq
2012	HFC	Metal & metal products	Norway	1235.2412795268208	t CO2-eq
2012	HFC	Mining & quarrying	Europe	37451.6344715561	t CO2-eq
2012	HFC	Mining & quarrying	Advanced	3995.622861593318	t CO2-eq
2012	HFC	Mining & quarrying	Developing	15086.821989335605	t CO2-eq
2012	HFC	Mining & quarrying	Norway	4560.190808836587	t CO2-eq
2012	HFC	Other manufacturing & recycl.	Europe	12402.281034880627	t CO2-eq
2012	HFC	Other manufacturing & recycl.	Advanced	3096.5224117976995	t CO2-eq
2012	HFC	Other manufacturing & recycl.	Developing	31937.332980584946	t CO2-eq
2012	HFC	Other manufacturing & recycl.	Norway	1696.163316549225	t CO2-eq
2012	HFC	Petroleum, chem & non-met	Europe	75822.14805132132	t CO2-eq
2012	HFC	Petroleum, chem & non-met	Advanced	9272.390976117715	t CO2-eq
2012	HFC	Petroleum, chem & non-met	Developing	97104.97118096669	t CO2-eq
2012	HFC	Petroleum, chem & non-met	Norway	6295.537171482434	t CO2-eq
2012	HFC	Public services	Europe	47267.420746731346	t CO2-eq
2012	HFC	Public services	Advanced	8189.480713477542	t CO2-eq
2012	HFC	Public services	Developing	75077.75223825137	t CO2-eq
2012	HFC	Public services	Norway	108797.14424953987	t CO2-eq
2012	HFC	Recreation; other services	Europe	8456.861625439022	t CO2-eq
2012	HFC	Recreation; other services	Advanced	1718.9984993454045	t CO2-eq
2012	HFC	Recreation; other services	Developing	14944.470617890765	t CO2-eq
2012	HFC	Recreation; other services	Norway	26660.87330400918	t CO2-eq
